timestamp,HR,arousal,method,rmssd
2025-06-20T13:05:34.633832,72,0.00,estimated,0
2025-06-20T13:05:35.609427,72,0.00,estimated,0
2025-06-20T13:05:36.731182,72,0.00,estimated,0
2025-06-20T13:05:37.610320,71,0.10,actual,0.0761
2025-06-20T13:05:38.729556,70,0.10,estimated,0
2025-06-20T13:05:39.608202,69,0.10,estimated,0
2025-06-20T13:05:40.776484,69,0.20,actual,0.0156
2025-06-20T13:05:41.607516,68,0.20,estimated,0
2025-06-20T13:05:42.630893,67,0.20,estimated,0
2025-06-20T13:05:43.605119,66,0.20,estimated,0
2025-06-20T13:05:44.630168,67,0.20,estimated,0
2025-06-20T13:05:45.605040,67,0.20,estimated,0
2025-06-20T13:05:46.675230,67,0.20,estimated,0
2025-06-20T13:05:47.603607,67,0.10,estimated,0
2025-06-20T13:05:48.626265,67,0.10,estimated,0
2025-06-20T13:05:49.601557,66,0.20,actual,0.0449
